date,event_name,venue,gender,match_type,winner,won_by_runs,won_by_wickets,player_of_match,toss_winner,toss_decision,batting_first_team,batting_first_runs,batting_first_wickets,batting_first_overs,batting_second_team,batting_second_runs,batting_second_wickets,batting_second_overs,target_runs,target_overs,file_name
12/29/2002,India tour of New Zealand,McLean Park,male,ODI,New Zealand,35,,V Sehwag,India,field,New Zealand,254,9,50,India,219,10,43.4,255,48,64814.json
1/1/2003,India tour of New Zealand,Jade Stadium,male,ODI,New Zealand,,5,DR Tuffey,India,bat,India,108,10,41.1,New Zealand,109,5,26.5,109,50,64815.json
1/4/2003,India tour of New Zealand,Davies Park,male,ODI,New Zealand,,7,AR Adams,New Zealand,field,India,122,10,43.4,New Zealand,123,3,25.4,123,50,64816.json
1/8/2003,India tour of New Zealand,Westpac Stadium,male,ODI,India,,2,Z Khan,New Zealand,bat,New Zealand,168,10,42.4,India,169,8,43.2,169,50,64817.json
1/9/2003,VB Series,Sydney Cricket Ground,male,ODI,Sri Lanka,79,,ST Jayasuriya,Australia,field,Sri Lanka,343,5,50,Australia,264,10,49.3,344,50,65634.json
1/11/2003,VB Series,Bellerive Oval,male,ODI,Australia,7,,DR Martyn,Australia,bat,Australia,271,4,50,England,264,7,50,272,50,65635.json
1/13/2003,VB Series,Sydney Cricket Ground,male,ODI,Sri Lanka,31,,ST Jayasuriya,Sri Lanka,bat,Sri Lanka,284,7,50,England,253,10,49.2,285,50,65636.json
1/14/2003,India tour of New Zealand,Westpac Park,male,ODI,New Zealand,,6,SP Fleming,New Zealand,field,India,122,10,44.5,New Zealand,125,4,28.4,123,50,64819.json
1/15/2003,VB Series,Brisbane Cricket Ground,male,ODI,Australia,,4,MG Bevan,Sri Lanka,bat,Sri Lanka,211,9,50,Australia,214,6,48.4,212,50,65637.json
1/17/2003,VB Series,Adelaide Oval,male,ODI,England,19,,AR Caddick,England,bat,England,279,7,50,Sri Lanka,260,10,49.2,280,50,65638.json
1/19/2003,VB Series,Adelaide Oval,male,ODI,Australia,,4,NW Bracken,England,bat,England,152,10,48.3,Australia,153,6,47.3,153,50,65639.json
1/21/2003,VB Series,Melbourne Cricket Ground,male,ODI,Australia,,9,RT Ponting,Sri Lanka,bat,Sri Lanka,214,8,50,Australia,215,1,34.3,215,50,65640.json
1/23/2003,VB Series,Sydney Cricket Ground,male,ODI,Australia,,10,B Lee,England,bat,England,117,10,41,Australia,118,0,12.2,118,50,65641.json
1/25/2003,VB Series,Melbourne Cricket Ground,male,ODI,Australia,5,,B Lee,Australia,bat,Australia,229,8,50,England,224,10,49.3,230,50,65642.json
2/9/2003,ICC World Cup,Newlands,male,ODI,West Indies,3,,BC Lara,West Indies,bat,West Indies,278,5,50,South Africa,275,9,49,279,49,65235.json
2/10/2003,ICC World Cup,Harare Sports Club,male,ODI,Zimbabwe,86,,CB Wishart,Namibia,field,Zimbabwe,340,2,50,Namibia,104,5,25.1,191,25.1,65236.json
2/10/2003,ICC World Cup,Goodyear Park,male,ODI,Sri Lanka,47,,ST Jayasuriya,New Zealand,field,Sri Lanka,272,7,50,New Zealand,225,10,45.3,273,50,65237.json
2/11/2003,ICC World Cup,New Wanderers Stadium,male,ODI,Australia,82,,A Symonds,Pakistan,field,Australia,310,8,50,Pakistan,228,10,44.3,311,49,65238.json
2/11/2003,ICC World Cup,Kingsmead,male,ODI,Canada,60,,A Codrington,Canada,bat,Canada,180,10,49.1,Bangladesh,120,10,28,181,50,65239.json
2/12/2003,ICC World Cup,North West Cricket Stadium,male,ODI,South Africa,,10,L Klusener,Kenya,bat,Kenya,140,10,38,South Africa,142,0,21.2,141,50,65240.json
2/12/2003,ICC World Cup,Boland Bank Park,male,ODI,India,68,,TBM de Leede,India,bat,India,204,10,48.5,Netherlands,136,10,48.1,205,50,65241.json
2/13/2003,ICC World Cup,St George's Park,male,ODI,New Zealand,20,,AR Adams,West Indies,field,New Zealand,241,7,50,West Indies,221,10,49.4,242,50,65242.json
2/15/2003,ICC World Cup,SuperSport Park,male,ODI,Australia,,9,JN Gillespie,India,bat,India,125,10,41.4,Australia,128,1,22.2,126,50,65244.json
2/15/2003,ICC World Cup,Newlands,male,ODI,Kenya,,4,TM Odoyo,Canada,bat,Canada,197,10,49,Kenya,198,6,48.3,198,50,65245.json
2/16/2003,ICC World Cup,Buffalo Park,male,ODI,England,,6,JM Anderson,England,field,Netherlands,142,9,50,England,144,4,23.2,143,50,65246.json
2/16/2003,ICC World Cup,De Beers Diamond Oval,male,ODI,Pakistan,171,,Wasim Akram,Pakistan,bat,Pakistan,255,9,50,Namibia,84,10,17.3,256,50,65247.json
2/16/2003,ICC World Cup,New Wanderers Stadium,male,ODI,New Zealand,,9,SP Fleming,South Africa,bat,South Africa,306,6,50,New Zealand,229,1,36.5,226,39,65248.json
2/18/2003,ICC World Cup,Willowmoore Park,male,ODI,,,,,Bangladesh,field,West Indies,244,9,50,Bangladesh,32,2,8.1,245,50,65249.json
2/19/2003,ICC World Cup,Harare Sports Club,male,ODI,India,83,,SR Tendulkar,Zimbabwe,field,India,255,7,49.5,Zimbabwe,172,10,44.4,256,50,65250.json
2/19/2003,ICC World Cup,Boland Bank Park,male,ODI,Sri Lanka,,9,RAP Nissanka,Sri Lanka,field,Canada,36,10,18.4,Sri Lanka,37,1,4.4,37,50,65251.json
2/19/2003,ICC World Cup,St George's Park,male,ODI,England,55,,AJ Burger,Namibia,field,England,272,10,50,Namibia,217,9,49.5,273,50,65252.json
2/22/2003,ICC World Cup,Goodyear Park,male,ODI,South Africa,,10,M Ntini,South Africa,field,Bangladesh,108,10,35.1,South Africa,109,0,12,109,50,65254.json
2/22/2003,ICC World Cup,Newlands,male,ODI,England,112,,JM Anderson,England,bat,England,246,8,50,Pakistan,134,10,31,247,50,65255.json
2/23/2003,ICC World Cup,SuperSport Park,male,ODI,West Indies,,7,JM Davison,West Indies,field,Canada,202,10,42.5,West Indies,206,3,20.3,203,50,65256.json
2/23/2003,ICC World Cup,City Oval,male,ODI,India,181,,SR Tendulkar,Namibia,field,India,311,2,50,Namibia,130,10,42.3,312,50,65257.json
2/24/2003,ICC World Cup,Gymkhana Club Ground,male,ODI,Kenya,53,,CO Obuya,Sri Lanka,field,Kenya,210,9,50,Sri Lanka,157,10,44.5,211,50,65258.json
2/24/2003,ICC World Cup,Queens Sports Club,male,ODI,Australia,,7,AM Blignaut,Zimbabwe,bat,Zimbabwe,246,9,50,Australia,248,3,47.2,247,50,65259.json
2/25/2003,ICC World Cup,Boland Bank Park,male,ODI,Pakistan,97,,Yousuf Youhana,Netherlands,field,Pakistan,253,9,50,Netherlands,156,10,39.3,254,50,65260.json
2/26/2003,ICC World Cup,De Beers Diamond Oval,male,ODI,New Zealand,,7,CD McMillan,Bangladesh,bat,Bangladesh,198,7,50,New Zealand,199,3,33.3,199,50,65261.json
2/26/2003,ICC World Cup,Kingsmead,male,ODI,India,82,,A Nehra,India,bat,India,250,9,50,England,168,10,45.3,251,50,65262.json
2/27/2003,ICC World Cup,North West Cricket Stadium,male,ODI,Australia,256,,GD McGrath,Australia,bat,Australia,301,6,50,Namibia,45,10,14,302,50,65263.json
2/27/2003,ICC World Cup,Buffalo Park,male,ODI,South Africa,118,,HH Dippenaar,Canada,field,South Africa,254,8,50,Canada,136,5,50,255,50,65264.json
2/28/2003,ICC World Cup,Queens Sports Club,male,ODI,Zimbabwe,99,,HH Streak,Netherlands,field,Zimbabwe,301,8,50,Netherlands,202,9,50,302,50,65265.json
2/28/2003,ICC World Cup,Newlands,male,ODI,Sri Lanka,6,,WPUJC Vaas,Sri Lanka,bat,Sri Lanka,228,6,50.1,West Indies,222,9,50,229,50,65266.json
3/1/2003,ICC World Cup,New Wanderers Stadium,male,ODI,Kenya,32,,MO Odumbe,Kenya,bat,Kenya,217,7,50,Bangladesh,185,10,47.2,218,50,65267.json
3/1/2003,ICC World Cup,SuperSport Park,male,ODI,India,,6,SR Tendulkar,Pakistan,bat,Pakistan,273,7,50,India,276,4,45.4,274,50,65268.json
3/2/2003,ICC World Cup,St George's Park,male,ODI,Australia,,2,AJ Bichel,England,bat,England,204,8,50,Australia,208,8,49.4,205,50,65269.json
3/3/2003,ICC World Cup,Willowmoore Park,male,ODI,New Zealand,,5,JM Davison,New Zealand,field,Canada,196,10,47,New Zealand,197,5,23,197,50,65270.json
3/3/2003,ICC World Cup,Goodyear Park,male,ODI,Netherlands,64,,JF Kloppenburg,Netherlands,bat,Netherlands,314,4,50,Namibia,250,10,46.5,315,50,65271.json
3/3/2003,ICC World Cup,Kingsmead,male,ODI,,,,MS Atapattu,Sri Lanka,bat,Sri Lanka,268,9,50,South Africa,229,6,45,230,45,65272.json
3/4/2003,ICC World Cup,Queens Sports Club,male,ODI,,,,,Pakistan,bat,Pakistan,73,3,13.5,,,,,,,65273.json
3/7/2003,ICC World Cup,SuperSport Park,male,ODI,Australia,96,,RT Ponting,Australia,bat,Australia,319,5,50,Sri Lanka,223,10,47.4,320,50,65275.json
3/7/2003,ICC World Cup,Newlands,male,ODI,India,,6,SC Ganguly,Kenya,bat,Kenya,225,6,50,India,226,4,47.5,226,50,65276.json
3/8/2003,ICC World Cup,Goodyear Park,male,ODI,New Zealand,,6,NJ Astle,Zimbabwe,bat,Zimbabwe,252,7,50,New Zealand,253,4,47.2,253,50,65277.json
3/10/2003,ICC World Cup,New Wanderers Stadium,male,ODI,India,183,,J Srinath,Sri Lanka,field,India,292,6,50,Sri Lanka,109,10,23,293,50,65278.json
3/11/2003,ICC World Cup,St George's Park,male,ODI,Australia,96,,SE Bond,New Zealand,field,Australia,208,9,50,New Zealand,112,10,30.1,209,50,65279.json
3/12/2003,ICC World Cup,Goodyear Park,male,ODI,Kenya,,7,MA Suji,Zimbabwe,bat,Zimbabwe,133,10,44.1,Kenya,135,3,26,134,50,65280.json
3/14/2003,ICC World Cup,SuperSport Park,male,ODI,India,,7,Z Khan,India,field,New Zealand,146,10,45.1,India,150,3,40.4,147,50,65281.json
3/15/2003,ICC World Cup,Buffalo Park,male,ODI,Sri Lanka,74,,MS Atapattu,Sri Lanka,bat,Sri Lanka,256,5,50,Zimbabwe,182,10,41.5,257,50,65282.json
3/15/2003,ICC World Cup,Kingsmead,male,ODI,Australia,,5,AY Karim,Australia,field,Kenya,174,8,50,Australia,178,5,31.2,175,50,65283.json
3/18/2003,ICC World Cup,St George's Park,male,ODI,Australia,48,,A Symonds,Australia,bat,Australia,212,7,50,Sri Lanka,123,7,38.1,172,38.1,65284.json
3/20/2003,ICC World Cup,Kingsmead,male,ODI,India,91,,SC Ganguly,India,bat,India,270,4,50,Kenya,179,10,46.2,271,50,65285.json
3/23/2003,ICC World Cup,New Wanderers Stadium,male,ODI,Australia,125,,RT Ponting,India,field,Australia,359,2,50,India,234,10,39.2,360,50,65286.json
4/3/2003,Cherry Blossom Sharjah Cup,Sharjah Cricket Association Stadium,male,ODI,Pakistan,68,,Abdul Razzaq,Pakistan,bat,Pakistan,278,7,50,Zimbabwe,210,10,44.1,279,50,65803.json
4/4/2003,Cherry Blossom Sharjah Cup,Sharjah Cricket Association Stadium,male,ODI,Pakistan,,7,KC Sangakkara,Sri Lanka,bat,Sri Lanka,223,6,50,Pakistan,225,3,47.2,224,50,65804.json
4/5/2003,Cherry Blossom Sharjah Cup,Sharjah Cricket Association Stadium,male,ODI,Zimbabwe,,5,DA Marillier,Kenya,bat,Kenya,225,6,50,Zimbabwe,230,5,49,226,50,65805.json
4/6/2003,Cherry Blossom Sharjah Cup,Sharjah Cricket Association Stadium,male,ODI,Sri Lanka,129,,KC Sangakkara,Sri Lanka,bat,Sri Lanka,256,5,50,Kenya,127,10,37.5,257,50,65806.json
4/7/2003,Cherry Blossom Sharjah Cup,Sharjah Cricket Association Stadium,male,ODI,Zimbabwe,,4,GW Flower,Sri Lanka,bat,Sri Lanka,193,10,49.1,Zimbabwe,194,6,48.4,194,50,65807.json
4/8/2003,Cherry Blossom Sharjah Cup,Sharjah Cricket Association Stadium,male,ODI,Pakistan,143,,Shoaib Malik,Pakistan,bat,Pakistan,286,8,50,Kenya,143,10,31.4,287,50,65808.json
4/10/2003,Cherry Blossom Sharjah Cup,Sharjah Cricket Association Stadium,male,ODI,Pakistan,,8,Taufeeq Umar,Zimbabwe,bat,Zimbabwe,168,10,49.1,Pakistan,172,2,35.2,169,50,65809.json
4/21/2003,TVS Cup (Bangladesh),Bangabandhu National Stadium,male,ODI,,,,,India,bat,India,46,3,17.1,,,,,,,66356.json
5/10/2003,Bank Alfalah Cup,Rangiri Dambulla International Stadium,male,ODI,Pakistan,79,,Mohammad Hafeez,Sri Lanka,field,Pakistan,199,8,50,Sri Lanka,120,10,43,200,50,66357.json
5/11/2003,Bank Alfalah Cup,Rangiri Dambulla International Stadium,male,ODI,New Zealand,,7,DR Tuffey,New Zealand,field,Pakistan,116,10,43.1,New Zealand,117,3,27.4,117,50,66358.json
5/17/2003,Australia tour of West Indies,Sabina Park,male,ODI,Australia,2,,RT Ponting,West Indies,field,Australia,270,5,50,West Indies,205,8,37,208,37,64820.json
5/19/2003,Bank Alfalah Cup,Rangiri Dambulla International Stadium,male,ODI,New Zealand,9,,DL Vettori,Sri Lanka,field,New Zealand,156,8,50,Sri Lanka,147,10,49.1,157,50,66361.json
5/23/2003,Bank Alfalah Cup,Rangiri Dambulla International Stadium,male,ODI,New Zealand,,4,SP Fleming,Pakistan,bat,Pakistan,198,10,50,New Zealand,200,6,45.2,199,50,66363.json
5/30/2003,Australia tour of West Indies,Queen's Park (New),male,ODI,West Indies,,3,WW Hinds,Australia,bat,Australia,252,10,49.5,West Indies,254,7,48.4,253,50,64825.json
6/1/2003,Australia tour of West Indies,Queen's Park (New),male,ODI,West Indies,,9,CH Gayle,Australia,bat,Australia,247,8,50,West Indies,249,1,43.3,248,50,64826.json
6/7/2003,Sri Lanka tour of West Indies,Kensington Oval,male,ODI,Sri Lanka,55,,M Muralitharan,West Indies,field,Sri Lanka,201,10,48.4,West Indies,146,10,41,202,50,64827.json
6/11/2003,Sri Lanka tour of West Indies,Arnos Vale Ground,male,ODI,West Indies,,6,MN Samuels,West Indies,field,Sri Lanka,191,10,50,West Indies,160,4,36.5,160,42,64829.json
6/17/2003,Pakistan tour of England and Scotland,Old Trafford,male,ODI,Pakistan,,2,Mohammad Hafeez,England,bat,England,204,9,50,Pakistan,208,8,49.2,205,50,65029.json
6/20/2003,Pakistan tour of England and Scotland,Kennington Oval,male,ODI,England,,7,ME Trescothick,Pakistan,bat,Pakistan,185,10,44,England,189,3,22,186,50,65030.json
6/22/2003,Pakistan tour of England and Scotland,Lord's,male,ODI,England,,4,ME Trescothick,England,field,Pakistan,229,7,50,England,231,6,48.3,230,50,65031.json
6/26/2003,NatWest Series,Trent Bridge,male,ODI,Zimbabwe,,4,GW Flower,Zimbabwe,field,England,191,8,50,Zimbabwe,195,6,48,192,50,66293.json
